,Faculty of Engineering and Technology,,,,,,
,School of Computer Science and Engineering,,,,,,
,Department of Computer Science and Applications,,,,,,
,"CLASSROOM ALLOCATION  (I,III,V,VII) ( 2025-26 )",,,,,,
,,,,,,,
Sr.No,"Room No
(Capacity-62)",Time,Mon,Tue,Wed,Thu,Fri
1,VY 401 (Class),8.30-10.30,TYBSC CS,TYBSC CS,TYBSC CS,TYBSC CS,TYBSC CS
,,10.30-11.30,TYBSC CS (10.30-11.30),TYBSC CS (10.30-11.30),TYBSC CS (10.30-11.30),SYBSC DIV A,TYBSC CS (10.30-11.30)
,,11.30-1.30,SYBSC DIV A,SYBSC DIV A,SYBSC DIV A,SYBSC DIV A,SYBSC DIV A
,,1.30-5.30,SYMSCDSBDA,SYMSCDSBDA,SYMSCDSBDA,SYMSCDSBDA,SYMSCDSBDA
2,VY 402,8.30-10.30,TYBSC CYBER ,TYBSC CYBER ,TYBSC CYBER ,TYBSC CYBER ,TYBSC CYBER 
,,10.30-11.30,TYBSC CYBER (10.30-11.30),TYBSC CYBER (10.30-11.30),TYBSC CYBER (10.30-11.30),SYBSC DIV B,TYBSC CYBER (10.30-11.30)
,,11.30-1.30,SYBSC DIV B,SYBSC DIV B,SYBSC DIV B,SYBSC DIV B,SYBSC DIV B
,,1.30-5.30,SYMCA DIV A (1:30 - 3:30) (Regular),"SYMCA DIV A (1:30 - 3:30)(Regular)
SYMCA (3:30 - 5:30) (Elective)","SYMCA DIV A (1:30 - 2:30)(Regular)
SYMCA (2:30 - 3:30) (Elective)","SYMCA DIV A (1:30 - 3:30)(Regular)
SYMCA (3:30 - 4:30) (Elective)","SYMCA DIV A (1:30 - 3:30)(Regular)
SYMCA (3:30 - 5:30) (Elective)"
3,VY403(Class),8.30-10.30,TYBSC CLOUD,TYBSC CLOUD,TYBSC CLOUD,TYBSC CLOUD,TYBSC CLOUD
